iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,total_vaccinations,people_vaccinated,population_density,median_age,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,population
ARG,South America,Argentina,1/1/2020,,,,,,,,,,,,,,,16.177,31.9,191.032,5.5,16.2,27.7,76.67,45510324
ARG,South America,Argentina,1/2/2020,,,,,,,,,,,,,,,16.177,31.9,191.032,5.5,16.2,27.7,76.67,45510324
ARG,South America,Argentina,1/3/2020,,0,,0,,0,,0,,,,,,,16.177,31.9,191.032,5.5,16.2,27.7,76.67,45510324
ARG,South America,Argentina,1/4/2020,,0,,0,,0,,0,,,,,,,16.177,31.9,191.032,5.5,16.2,27.7,76.67,45510324
ARG,South America,Argentina,1/5/2020,,0,,0,,0,,0,,,,,,,16.177,31.9,191.032,5.5,16.2,27.7,76.67,45510324
ARG,South America,Argentina,1/6/2020,,0,,0,,0,,0,,,,,,,16.177,31.9,191.032,5.5,16.2,27.7,76.67,45510324
ARG,South America,Argentina,1/7/2020,,0,,0,,0,,0,,,,,,,16.177,31.9,191.032,5.5,16.2,27.7,76.67,45510324
ARG,South America,Argentina,1/8/2020,,0,,0,,0,,0,,,,,,,16.177,31.9,191.032,5.5,16.2,27.7,76.67,45510324
ARG,South America,Argentina,1/9/2020,,0,,0,,0,,0,,,,,,,16.177,31.9,191.032,5.5,16.2,27.7,76.67,45510324
ARG,South America,Argentina,1/10/2020,,0,,0,,0,,0,,,,,,,16.177,31.9,191.032,5.5,16.2,27.7,76.67,45510324
ARG,South America,Argentina,1/11/2020,,0,,0,,0,,0,,,,,,,16.177,31.9,191.032,5.5,16.2,27.7,76.67,45510324
ARG,South America,Argentina,1/12/2020,,0,,0,,0,,0,,,,,,,16.177,31.9,191.032,5.5,16.2,27.7,76.67,45510324
ARG,South America,Argentina,1/13/2020,,0,,0,,0,,0,,,,,,,16.177,31.9,191.032,5.5,16.2,27.7,76.67,45510324
ARG,South America,Argentina,1/14/2020,,0,,0,,0,,0,,,,,,,16.177,31.9,191.032,5.5,16.2,27.7,76.67,45510324
ARG,South America,Argentina,1/15/2020,,0,,0,,0,,0,,,,,,,16.177,31.9,191.032,5.5,16.2,27.7,76.67,45510324
